Title,Genre,quarter_new
Leila,Drama,Q2 - 2019
Family Business,Comedy,Q2 - 2019
The Chosen One,Thriller drama,Q2 - 2019
Typewriter,Horror,Q3 - 2019
The Naked Director,Drama,Q3 - 2019
Sintonia,Drama,Q3 - 2019
Love Alarm,Romantic comedy,Q3 - 2019
Rotten,Documentary,Q1 - 2018
Somebody Feed Phil,Travel documentary,Q1 - 2018
Drug Lords,Documentary,Q1 - 2018
Dirty Money,Documentary,Q1 - 2018
Coach Snoop,Sport,Q1 - 2018
First Team: Juventus,Sport,Q1 - 2018
Ugly Delicious,Travel documentary,Q1 - 2018
Flint Town,Documentary,Q1 - 2018
Girls Incarcerated,Documentary,Q1 - 2018
Wild Wild Country,Documentary,Q1 - 2018
Rapture,Documentary,Q1 - 2018
Bobby Kennedy for President,History,Q2 - 2018
Evil Genius: The True Story of America's Most Diabolical Bank Heist,True crime,Q2 - 2018
Explained,Docu-series,Q2 - 2018
November 13: Attack on Paris,Documentary,Q2 - 2018
Dark Tourist,Travel documentary,Q3 - 2018
Marching Orders,Docu-series,Q3 - 2018
72 Dangerous Animals: Asia,Nature,Q3 - 2018
Afflicted,Docu-series,Q3 - 2018
Follow This,Docu-series,Q3 - 2018
Boca Juniors Confidential,Docu-series,Q3 - 2018
"Salt, Fat, Acid, Heat",Travel documentary,Q4 - 2018
FightWorld,Travel documentary,Q4 - 2018
Terrorism Close Calls,Docu-series,Q4 - 2018
Medal of Honor,Docu-series,Q4 - 2018
Dogs,Docu-series,Q4 - 2018
Vai Anitta,Docu-series,Q4 - 2018
Inside the Real Narcos,Docu-series,Q4 - 2018
Sunderland 'Til I Die,Sport,Q4 - 2018
The Innocent Man,True crime,Q4 - 2018
7 Days Out,Docu-series,Q4 - 2018
Murder Mountain,True crime,Q4 - 2018
Trigger Warning with Killer Mike,Docu-series,Q1 - 2019
Conversations with a Killer: The Ted Bundy Tapes,True crime,Q1 - 2019
Examination of Conscience,True crime,Q1 - 2019
Larry Charles: The Dangerous World of Comedy,Docu-series,Q1 - 2019
Losers,Sport,Q1 - 2019
